screen_name,tweet,created_at
realDonaldTrump,"Susan Molinari was a lobbyist for Russia.

Now she thinks Joe Biden should be president. https://t.co/jqsutuReTf #DemConvention https://t.co/myYLHqOFO9",8/18/2020 3:32
realDonaldTrump,"Oh my gosh Cuomo doing a victory lap after the most outrageous mishandling of COVID in the country is just so gross. 

You can't whitewash

<U+2705>6,000+ nursing home deaths 
<U+2705>Spreading the virus around the country from NY
<U+2705>Delaying stay at home orders, leading to 50-80% more deaths",8/18/2020 3:31
realDonaldTrump,"Cuomo mismanaged New York's coronavirus response. 

Tens of thousands in nursing homes unnecessarily died, and his arrogance spread the virus unnecessarily across the country. 

Democrats are now allowing him to lecture the rest of us. 

https://t.co/kWbe7z1OwG",8/18/2020 3:27
realDonaldTrump,"Now AP estimates that the real Cuomo number of people killed because of his total incompetence is 11,000, not the 6000 that was originally thought!",8/18/2020 3:26
realDonaldTrump,"NY Governor Andrew Cuomo on President Trump's response to the coronavirus:

He “has been responsive to New York and responsive to New York’s needs and he’s done it quickly and he’s done it efficiently.” #DemConvention https://t.co/OBmchMJPmY",8/18/2020 3:15
realDonaldTrump,Does the #DemConvention know @NYGovCuomo forced nursing homes across NY to take in COVID positive patients and planted the seeds of infection that killed thousands of grandmothers and grandfathers?,8/18/2020 3:09
realDonaldTrump,"Cuomo, just like his brother Fredo, has not got a very good memory! https://t.co/H8J0RjNlvb",8/18/2020 3:07
realDonaldTrump,(@NYGovCuomo is responsible for thousands and thousands of nursing home deaths. An estimated one million people have moved out of his state for good. He is $14B in the hole... and counting.),8/18/2020 3:05
realDonaldTrump,"Democrats and the media are covering up Andrew Cuomo’s coronavirus failures. 

His mismanagement was deadly, especially for vulnerable seniors in nursing homes. 
https://t.co/ZZeiIidEg5",8/18/2020 3:05
realDonaldTrump,"In Case You Missed It @JohnKasich 

President @realdonaldTrump has:

<U+25B6><U+FE0F> Appointed and the Senate has confirmed over 200 conservative judges.

<U+25B6><U+FE0F> 2 Supreme Court Justices.

<U+25B6><U+FE0F> Cut Taxes.

<U+25B6><U+FE0F>Provided massive deregulation.

<U+25B6><U+FE0F>Brought the US to energy independence.",8/18/2020 3:03
realDonaldTrump,"<U+25B6><U+FE0F> Negotiated peace agreement between UAE and Israel.

<U+25B6><U+FE0F> Stood up to China.

<U+25B6><U+FE0F> Stopped caravans from Central America.

<U+25B6><U+FE0F> Gotten Mexico to cooperate on illegal immigration unlike any other time in history.",8/18/2020 3:03
